,Maa,Vuosi,Gold,Silver,Bronze,No_medal,#,,Nimi,Ikä,PP,O,M,S,P,RM,+/-,YVM,AVM,VM,M/O,S/O,P/O
333,canada,2004,1,0,0,0,11,,Jay Bouwmeester,20,P,9,2,1,3,0,5,1,0,1,0.222,0.111,0.333
334,canada,2004,1,0,0,0,12,,Brenden Morrow,25,H,9,0,3,3,12,2,0,0,0,0.000,0.333,0.333
335,canada,2004,1,0,0,0,13,,Eric Brewer,25,P,9,1,1,2,6,4,0,0,0,0.111,0.111,0.222
336,canada,2004,1,0,0,0,14,,Steve Staios,30,H,9,1,1,2,6,1,0,0,0,0.111,0.111,0.222
337,canada,2004,1,0,0,0,15,,Patrice Bergeron,18,H,9,1,0,1,4,-1,0,0,1,0.111,0.000,0.111
338,canada,2004,1,0,0,0,16,,Jean-Pierre Dumont,26,H,9,0,1,1,0,0,0,0,0,0.000,0.111,0.111
339,canada,2004,1,0,0,0,17,,Jeff Friesen,27,H,9,0,1,1,4,-1,0,0,0,0.000,0.111,0.111
340,canada,2004,1,0,0,0,18,,Nick Schultz,21,P,9,0,1,1,0,0,0,0,0,0.000,0.111,0.111
341,canada,2004,1,0,0,0,19,,Willie Mitchell,27,P,9,0,0,0,0,-2,0,0,0,0.000,0.000,0.000
342,canada,2004,1,0,0,0,20,,Justin Williams,22,H,9,0,0,0,4,-1,0,0,0,0.000,0.000,0.000
343,canada,2004,1,0,0,0,21,,Roberto Luongo,25,M,7,0,0,0,0,,0,0,0,0.000,0.000,0.000
344,canada,2004,1,0,0,0,22,,Jean-Sebastien Giguere,26,M,2,0,0,0,0,,0,0,0,0.000,0.000,0.000
345,canada,2003,1,0,0,0,1,,Dany Heatley,22,H,9,7,3,10,10,9,2,0,1,0.778,0.333,1.111
346,canada,2003,1,0,0,0,2,,Daniel Briere,25,H,9,4,5,9,6,8,0,0,2,0.444,0.556,1.000
347,canada,2003,1,0,0,0,3,,Jay Bouwmeester,19,P,9,3,4,7,4,3,0,0,0,0.333,0.444,0.778
348,canada,2003,1,0,0,0,4,,Shawn Horcoff,24,H,9,3,4,7,0,4,0,0,0,0.333,0.444,0.778
349,canada,2003,1,0,0,0,5,,Shane Doan,26,H,9,4,2,6,12,1,3,0,0,0.444,0.222,0.667
350,canada,2003,1,0,0,0,6,,Steven Reinprecht,26,H,8,0,6,6,2,1,0,0,0,0.000,0.750,0.750
351,canada,2003,1,0,0,0,7,,Mike Comrie,22,H,9,3,2,5,6,1,0,0,0,0.333,0.222,0.556
352,canada,2003,1,0,0,0,8,,Mathieu Dandenault,27,P,9,2,3,5,12,9,0,0,0,0.222,0.333,0.556
353,canada,2003,1,0,0,0,9,,Kirk Maltby,30,H,9,2,2,4,8,1,0,1,0,0.222,0.222,0.444
354,canada,2003,1,0,0,0,10,,Ryan Smyth,27,H,9,2,2,4,2,1,1,0,1,0.222,0.222,0.444
355,canada,2003,1,0,0,0,11,,Patrick Marleau,23,H,9,0,4,4,4,11,0,0,0,0.000,0.444,0.444
356,canada,2003,1,0,0,0,12,,Anson Carter,28,H,9,2,1,3,8,1,1,0,2,0.222,0.111,0.333
357,canada,2003,1,0,0,0,13,,Eric Brewer,24,P,9,1,2,3,8,5,1,0,1,0.111,0.222,0.333
358,canada,2003,1,0,0,0,14,,Cory Cross,32,P,8,1,2,3,4,6,0,0,1,0.125,0.250,0.375
359,canada,2003,1,0,0,0,15,,Kris Draper,31,H,9,0,3,3,10,1,0,0,0,0.000,0.333,0.333
360,canada,2003,1,0,0,0,16,,Steve Staios,29,H,9,0,3,3,4,4,0,0,0,0.000,0.333,0.333
361,canada,2003,1,0,0,0,17,,Kyle Calder,24,H,9,1,1,2,0,3,0,0,0,0.111,0.111,0.222
362,canada,2003,1,0,0,0,18,,Krys Kolanos,21,H,9,0,1,1,6,1,0,0,0,0.000,0.111,0.111
363,canada,2003,1,0,0,0,19,,Craig Rivet,28,P,9,0,1,1,6,3,0,0,0,0.000,0.111,0.111
364,canada,2003,1,0,0,0,20,,Jamie Heward,32,P,9,0,0,0,2,-1,0,0,0,0.000,0.000,0.000
365,canada,2003,1,0,0,0,21,,Sean Burke,36,M,6,0,0,0,0,,0,0,0,0.000,0.000,0.000
366,canada,2003,1,0,0,0,22,,Roberto Luongo,24,M,4,0,0,0,0,,0,0,0,0.000,0.000,0.000
367,canada,2002,0,0,0,1,1,,Andy McDonald,24,H,7,4,1,5,0,0,2,0,3,0.571,0.143,0.714
368,canada,2002,0,0,0,1,2,,Eric Brewer,23,P,7,2,3,5,4,2,1,0,0,0.286,0.429,0.714
369,canada,2002,0,0,0,1,3,,Ryan Smyth,26,H,7,4,0,4,2,3,1,0,1,0.571,0.000,0.571
370,canada,2002,0,0,0,1,4,,Dany Heatley,21,H,7,2,2,4,2,-1,0,0,0,0.286,0.286,0.571
371,canada,2002,0,0,0,1,5,,Ray Whitney,29,H,7,1,3,4,2,2,0,0,0,0.143,0.429,0.571
372,canada,2002,0,0,0,1,6,,Daniel Cleary,23,H,7,2,1,3,2,2,2,0,0,0.286,0.143,0.429
373,canada,2002,0,0,0,1,7,,Mike Comrie,21,H,7,1,2,3,10,0,0,0,0,0.143,0.286,0.429
374,canada,2002,0,0,0,1,8,,Justin Williams,20,H,5,0,3,3,6,4,0,0,0,0.000,0.600,0.600
375,canada,2002,0,0,0,1,9,,Jamie Wright,25,H,7,1,1,2,2,-1,0,0,1,0.143,0.143,0.286
376,canada,2002,0,0,0,1,10,,James Patrick,38,P,7,0,2,2,0,0,0,0,0,0.000,0.286,0.286
377,canada,2002,0,0,0,1,11,,Tyler Wright,29,H,7,0,2,2,33,1,0,0,0,0.000,0.286,0.286
378,canada,2002,0,0,0,1,12,,Richard Matvichuk,29,P,7,1,0,1,6,1,0,1,0,0.143,0.000,0.143
379,canada,2002,0,0,0,1,13,,Brad Schlegel,33,P,7,1,0,1,4,1,0,0,0,0.143,0.000,0.143
380,canada,2002,0,0,0,1,14,,Steve Staios,28,H,6,1,0,1,4,4,0,0,0,0.167,0.000,0.167
381,canada,2002,0,0,0,1,15,,Brenden Morrow,23,H,7,0,1,1,2,-1,0,0,0,0.000,0.143,0.143
382,canada,2002,0,0,0,1,16,,Peter Schaefer,24,H,7,0,1,1,2,0,0,0,0,0.000,0.143,0.143
383,canada,2002,0,0,0,1,17,,Dan McGillis,29,P,5,0,1,1,2,0,0,0,0,0.000,0.200,0.200
384,canada,2002,0,0,0,1,18,,Manny Malhotra,21,H,7,0,0,0,4,1,0,0,0,0.000,0.000,0.000
385,canada,2002,0,0,0,1,19,,Brad Ference,23,P,6,0,0,0,4,2,0,0,0,0.000,0.000,0.000
386,canada,2002,0,0,0,1,20,,Jean-Sebastien Giguere,24,M,5,0,0,0,0,,0,0,0,0.000,0.000,0.000
387,canada,2002,0,0,0,1,21,,Kyle Calder,23,H,3,0,0,0,0,0,0,0,0,0.000,0.000,0.000
388,canada,2002,0,0,0,1,22,,Marty Turco,26,M,3,0,0,0,0,,0,0,0,0.000,0.000,0.000
