RK,Country,Name,Age,Pos,GP,G,A,P,PIM,PM,PPG,SHG,GWG,G_GP,A_GP,P_GP,Year,Gold,Silver,Bronze,No_medal
15,LV,Gints Meija,30,F,8,1,0,1,0,-1,0,0,1,0.125,0,0.125,2018,0,0,0,1
16,LV,Ralfs Freibergs,26,D,8,0,1,1,2,3,0,0,0,0,0.125,0.125,2018,0,0,0,1
17,LV,Oskars Cibulskis,30,D,8,0,0,0,8,-1,0,0,0,0,0,0,2018,0,0,0,1
18,LV,Vitalijs Pavlovs,28,F,8,0,0,0,2,-1,0,0,0,0,0,0,2018,0,0,0,1
19,LV,Nikita Jevpalovs,23,F,8,0,0,0,0,-2,0,0,0,0,0,0,2018,0,0,0,1
20,LV,Frenks Razgals,21,F,8,0,0,0,2,-2,0,0,0,0,0,0,2018,0,0,0,1
21,LV,Kristaps Zile,20,D,8,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,1
22,LV,Elvis Merzlikins,24,G,6,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
23,LV,Edgars Siksna,25,D,3,0,0,0,0,0,0,0,0,0,0,0,2018,0,0,0,1
24,LV,Kristers Gudlevskis,25,G,2,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
1,NO,Mathis Olimb,32,F,7,1,3,4,24,-7,0,0,0,0.143,0.429,0.571,2018,0,0,0,1
2,NO,Tobias Lindström,30,F,7,1,3,4,2,-4,1,0,1,0.143,0.429,0.571,2018,0,0,0,1
3,NO,Anders Bastiansen,37,F,7,2,1,3,0,-3,0,0,0,0.286,0.143,0.429,2018,0,0,0,1
4,NO,Ken Andre Olimb,29,F,7,2,1,3,2,-5,1,1,0,0.286,0.143,0.429,2018,0,0,0,1
5,NO,Thomas Valkvä Olsen,24,F,6,2,1,3,0,-2,1,0,0,0.333,0.167,0.5,2018,0,0,0,1
6,NO,Jonas Holøs,30,D,7,1,2,3,2,-7,1,0,0,0.143,0.286,0.429,2018,0,0,0,1
7,NO,Alexander Bonsaksen,31,D,7,1,1,2,4,-5,0,0,0,0.143,0.143,0.286,2018,0,0,0,1
8,NO,Mathias Trettenes,24,F,5,1,1,2,0,-1,0,0,1,0.2,0.2,0.4,2018,0,0,0,1
9,NO,Stefan Espeland,29,D,7,0,2,2,2,-4,0,0,0,0,0.286,0.286,2018,0,0,0,1
10,NO,Kristian Forsberg,31,F,7,1,0,1,0,-2,0,0,0,0.143,0,0.143,2018,0,0,0,1
11,NO,Daniel Sørvik,28,D,7,1,0,1,6,-1,0,0,0,0.143,0,0.143,2018,0,0,0,1
12,NO,Steffen Thoresen,32,F,7,0,1,1,6,-3,0,0,0,0,0.143,0.143,2018,0,0,0,1
13,NO,Eirik Salsten,23,F,7,0,1,1,2,-1,0,0,0,0,0.143,0.143,2018,0,0,0,1
14,NO,Christian Bull,21,D,7,0,1,1,0,-2,0,0,0,0,0.143,0.143,2018,0,0,0,1
15,NO,Martin Røymark,31,F,7,0,0,0,4,-2,0,0,0,0,0,0,2018,0,0,0,1
16,NO,Tommy Kristiansen,28,F,7,0,0,0,8,-3,0,0,0,0,0,0,2018,0,0,0,1
17,NO,Niklas Roest,31,F,7,0,0,0,4,-4,0,0,0,0,0,0,2018,0,0,0,1
18,NO,Johannes Johannesen,21,D,7,0,0,0,0,-2,0,0,0,0,0,0,2018,0,0,0,1
19,NO,Ludvig Hoff,21,F,6,0,0,0,0,-2,0,0,0,0,0,0,2018,0,0,0,1
20,NO,Lars Haugen,31,G,5,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
21,NO,Dennis Løvold Sveum,31,D,5,0,0,0,0,-4,0,0,0,0,0,0,2018,0,0,0,1
22,NO,Michael Haga,26,F,4,0,0,0,0,-4,0,0,0,0,0,0,2018,0,0,0,1
23,NO,Henrik Haukeland,23,G,4,0,0,0,0,,0,0,0,0,0,0,2018,0,0,0,1
24,NO,Villiam Strøm,27,D,2,0,0,0,2,-1,0,0,0,0,0,0,2018,0,0,0,1
1,RU,Pavel Datsyuk,39,F,8,2,8,10,2,6,1,0,1,0.25,1,1.25,2018,0,0,0,1
2,RU,Kirill Kaprizov,21,F,8,6,2,8,2,8,1,0,1,0.75,0.25,1,2018,0,0,0,1
3,RU,Alexander Barabanov,23,F,8,4,4,8,2,6,0,0,0,0.5,0.5,1,2018,0,0,0,1
4,RU,Artem Anisimov,29,F,8,3,5,8,0,7,1,0,0,0.375,0.625,1,2018,0,0,0,1
5,RU,Nikita Zaitsev,26,D,8,0,8,8,0,8,0,0,0,0,1,1,2018,0,0,0,1
6,RU,Evgeny Dadonov,29,F,8,2,5,7,2,4,0,0,0,0.25,0.625,0.875,2018,0,0,0,1
7,RU,Mikhail Grigorenko,23,F,8,4,2,6,0,7,0,0,2,0.5,0.25,0.75,2018,0,0,0,1
8,RU,Maxim Shalunov,25,F,8,3,3,6,4,6,1,0,0,0.375,0.375,0.75,2018,0,0,0,1
9,RU,Ilya Mikheyev,23,F,8,3,1,4,0,4,0,0,0,0.375,0.125,0.5,2018,0,0,0,1
10,RU,Ilya Kablukov,30,F,8,1,3,4,0,5,0,0,0,0.125,0.375,0.5,2018,0,0,0,1
11,RU,Pavel Buchnevich,23,F,8,1,3,4,2,5,1,0,0,0.125,0.375,0.5,2018,0,0,0,1
12,RU,Nikita Gusev,25,F,4,1,3,4,0,0,0,0,0,0.25,0.75,1,2018,0,0,0,1
